id,walk_m,straight_line_m,routing_penalty_m,routing_method
08f2a33d10b34d8a035e19b46e7fa75e,859.1,22.53,836.57,osrm
08f29a5493d4439e038b485c92864d79,22.5,25.4,0.0,osrm
08f44e8cc908631a031c4515674b2704,19.3,22.02,0.0,osrm
08f44dd48eca9d95039aede80a193597,98.0,24.99,73.01,osrm
08f48c612a2e4830037070942d3acffb,276.7,25.89,250.81,osrm
08f26580d692020d035face72c80f1dc,21.3,21.49,0.0,osrm
08f2ab31ad9098c00350623fdcc1f6e6,36.5,38.05,0.0,osrm
08f2832b0516d8d00328df5183e622bd,21.9,23.85,0.0,osrm
08f26c844a18ea23039e673a96dcb2be,39.7,22.17,17.53,osrm
08f264a84105b663035b3fedc120a1e5,56.1,24.77,31.33,osrm
08f2ad26a81163320360f654fe92e1e0,9.0,25.22,0.0,osrm
08f44e554c71e3340398cae2f4547f36,20.2,26.35,0.0,osrm
08f44f045418045d0387f37290811e80,22.1,22.87,0.0,osrm
08f445c0c5a1197003518bc4651a78dd,11.1,25.75,0.0,osrm
08f489c171cf5d0d03dafb592700868e,162.9,23.07,139.83,osrm
08f26caa6c0e12a1035afb141c8c1d62,23.6,23.45,0.15,osrm
08f2a10116895d1d033644bb8efe8121,615.1,19.98,595.12,osrm
08f265b4d08ae572035696647102c966,21.6,21.78,0.0,osrm
08f44a9a9e6164d5034b0eb5a448fad3,458.3,23.26,435.04,osrm
08f26c18ac69a76d0320e472283fa5bb,13.0,24.81,0.0,osrm
08f2a10118828c920352dcc44665a39b,7.2,20.0,0.0,osrm
08f2a93cf1b2189b032363043f654f98,89.5,26.18,63.32,osrm
08f264d9521a3584034b9804c32f2063,9.1,17.29,0.0,osrm
08f26c866b8b0d6e035eba6cd4248d06,0.0,22.25,0.0,osrm
08f275934d94d0160307b5ad4a508bb1,11.3,22.67,0.0,osrm
08f4416aa4b2b9400340128c0532c8bc,18.2,23.87,0.0,osrm
08f29a561208eb6003fad81e5215b86c,155.4,25.33,130.07,osrm
